Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
28,0.2356726527000852,0.01178363263500426,0.22834843654523768,0.011417421827261885,0.22834843654523768,0.011417421827261885,0.0,0.00732421615484391,0.22834843654523768,0.011417421827261885,0.03815597026278006,0.03083175410793615,7.966861526598489e-05,0.009875834121865257,0.09385119267955666,407,387,20,19.35,0
29,0.15594239300358836,0.01113874235739917,0.14877562289992344,0.01062683020713739,0.14877562289992344,0.01062683020713739,0.0,0.007166770103662401,0.14877562289992344,0.01062683020713739,0.03007234647307122,0.02290557636940882,8.843851880080625e-05,0.008990717609322654,0.08920610040397214,273,259,14,18.5,0
30,0.18727444402706972,0.010404135779281651,0.18727444402708382,0.010404135779282434,0.18727444402708382,0.010404135779282434,0.0,0.0,0.18727444402708382,0.010404135779282434,0.02513196800000017,0.02513196800000017,7.079427605633851e-05,0.009007915334837198,1.5,373,355,18,19.72222222222222,0
31,0.19715493220121516,0.010376575379011325,0.1971549322012259,0.01037657537901189,0.1971549322012259,0.01037657537901189,0.0,0.0,0.1971549322012259,0.01037657537901189,0.025347303466666915,0.025347303466666915,6.832157268643373e-05,0.00904250677550254,0.4070360350837312,390,371,19,19.526315789473685,0
32,0.2325528914611148,0.011073947212434038,0.23255289146108254,0.011073947212432503,0.23255289146108254,0.011073947212432503,0.0,0.0,0.23255289146108254,0.011073947212432503,0.03361281295238072,0.03361281295238072,8.320003206034832e-05,0.00947333707184448,0.9252833673237539,425,404,21,19.238095238095237,0
33,0.08336173329083252,0.011908819041547503,0.07461763731151978,0.010659662473074255,0.07461763731151978,0.010659662473074255,0.0,0.008744095979302813,0.07461763731151978,0.010659662473074255,0.02595795304597104,0.017213857066668226,0.00012942749674186636,0.00820054003498021,0.13006462875532776,140,133,7,19.0,0
34,0.11372042307477415,0.010338220279524923,0.11372042307475516,0.010338220279523197,0.11372042307475516,0.010338220279523197,0.0,0.0,0.11372042307475516,0.010338220279523197,0.019202016000001265,0.019202016000001265,8.768043835617016e-05,0.00859258246134299,0.18949902177933353,230,219,11,19.90909090909091,0
35,0.25362950957913455,0.010567896232463939,0.253629509579104,0.010567896232462667,0.253629509579104,0.010567896232462667,0.0,0.0,0.253629509579104,0.010567896232462667,0.03474014930716862,0.03474014930716862,7.454967662482536e-05,0.009120390011331914,0.1184836069343227,490,466,24,19.416666666666668,0
36,0.12324190492510567,0.010270158743758806,0.12324190492508785,0.010270158743757321,0.12324190492508785,0.010270158743757321,0.0,0.0,0.12324190492508785,0.010270158743757321,0.019271657142855503,0.019271657142855503,8.165956416464196e-05,0.008664187315187514,1.0452214232559491,248,236,12,19.666666666666668,0
37,0.14663551682587084,0.010473965487562202,0.14663551682584935,0.010473965487560669,0.14663551682584935,0.010473965487560669,0.0,0.0,0.14663551682584935,0.010473965487560669,0.023449587628668667,0.023449587628668667,8.84890099195044e-05,0.008798994942657299,0.5327415822964916,279,265,14,18.928571428571427,0
