Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
10,0.1980085238503806,0.010421501255283188,0.1980085238503807,0.010421501255283195,0.1980085238503807,0.010421501255283195,0.0,0.0,0.1980085238503807,0.010421501255283195,0.025998634936095222,0.025998634936095222,6.896189638221545e-05,0.009053152048120282,0.8194829310452754,396,377,19,19.842105263157894,0
11,0.09245559105321188,0.010272843450356875,0.09245559105321356,0.010272843450357063,0.09245559105321356,0.010272843450357063,0.0,0.0,0.09245559105321356,0.010272843450357063,0.016943256424641895,0.016943256424641895,9.518683384630278e-05,0.008390259403174442,0.20794754324929077,187,178,9,19.77777777777778,0
12,0.15173940947301556,0.011672262267155044,0.13321707357460333,0.01024746719804641,0.13321707357460333,0.01024746719804641,0.01852233589841301,0.0,0.15173940947301634,0.011672262267155103,0.019103515631746504,0.019103515631746504,7.82930968514201e-05,0.010202761064713005,1.5,257,244,13,18.76923076923077,0
13,0.09362021797446562,0.011702527246808203,0.08537156469841276,0.010671445587301594,0.08537156469841276,0.010671445587301594,0.0,0.008248653276051954,0.08537156469841276,0.010671445587301594,0.026770989174464965,0.01852233589841301,0.00011797666177333128,0.008356153600000082,0.04866632566997886,165,157,8,19.625,0
14,0.18705083726798755,0.010391713181554863,0.1870508372679853,0.010391713181554739,0.1870508372679853,0.010391713181554739,0.0,0.0,0.1870508372679853,0.010391713181554739,0.024855030182270532,0.024855030182270532,7.288865156091065e-05,0.009010878171428724,0.9402768708165699,359,341,18,18.944444444444443,0
15,0.21203340088588973,0.010601670044294487,0.2120334008858786,0.01060167004429393,0.2120334008858786,0.01060167004429393,0.0,0.0,0.2120334008858786,0.01060167004429393,0.03028392614302078,0.03028392614302078,7.805135603871335e-05,0.009087473737143447,0.8228649697026285,408,388,20,19.4,0
16,0.2788016973815033,0.01161673739089597,0.254532688241655,0.010605528676735624,0.254532688241655,0.010605528676735624,0.02426900913984653,0.0,0.2788016973815015,0.011616737390895896,0.035475302184512,0.035475302184512,7.437170269289727e-05,0.010138599799874637,0.3841812120150845,501,477,24,19.875,0
17,0.18407830338557396,0.010828135493269057,0.17708337439698968,0.010416669082175863,0.17708337439698968,0.010416669082175863,0.0,0.006994928988591553,0.17708337439698968,0.010416669082175863,0.031263938128438085,0.02426900913984653,7.536959360200786e-05,0.008989080309243287,0.23783734142449298,339,322,17,18.941176470588236,0
18,0.1870451288489292,0.010391396047162734,0.18704512884893773,0.010391396047163208,0.18704512884893773,0.010391396047163208,0.0,0.0,0.18704512884893773,0.010391396047163208,0.024849321763223742,0.024849321763223742,7.161187828018369e-05,0.009010878171428082,0.8842304922927511,365,347,18,19.27777777777778,0
19,0.17698193683507668,0.010410702166769217,0.17698193683508492,0.010410702166769701,0.17698193683508492,0.010410702166769701,0.0,0.0,0.17698193683508492,0.010410702166769701,0.024327059577942123,0.024327059577942123,7.327427583717507e-05,0.008979698662184385,0.9891899676717077,349,332,17,19.529411764705884,0
